# antenna = m062, -30:42:47.4, 21:26:38.0, 1035.0, 13.5, -1440.69968823 -2269.26759132 6.0, -0:17:33.3 0 0:01:12.9 0:03:44.3 0:00:09.4 0:00:04.1 0:05:04.1 0:00:58.8, 1.22
dataset, target, timestamp_ut, azimuth, elevation, delta_azimuth, delta_azimuth_std, delta_elevation, delta_elevation_std, data_unit, beam_height_I, beam_height_I_std, beam_width_I, beam_width_I_std, baseline_height_I, baseline_height_I_std, refined_I, beam_height_HH, beam_width_HH, baseline_height_HH, refined_HH, beam_height_VV, beam_width_VV, baseline_height_VV, refined_VV, frequency, flux, temperature, pressure, humidity, wind_speed, keep, old_residual_xel, old_residual_el, new_residual_xel, new_residual_el
1445623746, 0402-362, 2015-10-23 19:07:02.266, 118.9299039, 24.1591173, -0.8277242, 0.0000000, 0.1544502, 0.0000000, counts, 3.7783245, 0.0000000, 0.0939476, 0.0000000, 2130.2359881, 0.0000000, 0, 1.9645916, 0.0930386, 801.9567801, 0, 1.7738951, 0.0943732, 1328.2870433, 0, 12500.5000000, 1.9561, 30.65, 894.25, 15.00, 3.25, 0, -0.4354121, 0.0553416, -0.4252497, 0.0468301
1445623746, 1718-649, 2015-10-23 19:19:40.445, 209.1717156, 30.9684662, -0.3860129, 0.0000000, 0.2169826, 0.0000000, counts, 1.3316666, 0.0000000, 0.5418018, 0.0000000, 2118.8605096, 0.0000000, 3, 0.8207127, 0.1539559, 795.9755540, 3, 0.8693506, 0.2250383, 1322.8067356, 2, 12500.5000000, 3.4802, 30.44, 894.45, 15.00, 3.62, 1, -0.0280825, 0.1213404, -0.0214266, 0.0963883
1445623746, 1824-582, 2015-10-23 19:33:52.085, 217.7816472, 36.5694959, -0.3060390, 0.0000000, 0.0955928, 0.0000000, counts, 5.0370961, 0.0000000, 0.0875346, 0.0000000, 2108.8517721, 0.0000000, 0, 2.5501613, 0.0848444, 789.2645608, 0, 2.4797259, 0.0905772, 1319.5894754, 0, 12500.5000000, 1.2627, 30.24, 894.79, 15.00, 1.04, 1, 0.0398508, 0.0007641, 0.0468708, -0.0202543
1445623746, 1908-201, 2015-10-23 19:54:22.564, 264.3030219, 32.0624186, -0.7518086, 0.0000000, 0.0593160, 0.0000000, counts, 2.7423500, 0.0000000, 0.1566774, 0.0000000, 2104.8372195, 0.0000000, 0, 1.3476181, 0.1461222, 788.6795036, 0, 1.3449419, 0.1681450, 1316.4785288, 0, 12500.5000000, 2.3588, 29.55, 894.60, 15.00, 2.43, 0, -0.3363046, -0.0376058, -0.3378512, -0.0534001
1445623746, 0451-282, 2015-10-23 20:13:56.567, 109.3063996, 24.6165260, -0.3585051, 0.0000000, 0.1177770, 0.0000000, counts, 0.9924436, 0.0000000, 0.0903031, 0.0000000, 2121.5814240, 0.0000000, 2, 0.4001065, 0.1119407, 796.0605737, 2, 0.6399905, 0.0796028, 1325.5489456, 2, 12500.5000000, 2.1455, 29.08, 894.62, 15.00, 1.88, 1, -0.0072433, 0.0182443, 0.0033121, 0.0133009
1445623746, 0454-234, 2015-10-23 20:29:36.670, 103.3673794, 25.1699268, -0.3587133, 0.0000000, 0.1023039, 0.0000000, counts, 1.6136193, 0.0000000, 0.1385443, 0.0000000, 2123.5174845, 0.0000000, 2, 0.8457233, 0.1222866, 795.8753867, 2, 0.9309494, 0.1616616, 1327.4977679, 2, 12500.5000000, 3.2623, 29.20, 894.68, 15.00, 1.31, 1, -0.0073502, 0.0025448, 0.0036220, -0.0001011
1445623746, 0521-365, 2015-10-23 20:35:38.516, 118.5670297, 26.1485500, -0.3541570, 0.0000000, 0.0870300, 0.0000000, counts, 2.6422125, 0.0000000, 0.1088908, 0.0000000, 2121.6817712, 0.0000000, 2, 1.2641826, 0.1173385, 794.9938373, 3, 1.3602328, 0.1098361, 1326.6482332, 2, 12500.5000000, 5.5701, 29.16, 894.78, 15.00, 1.49, 1, -0.0031411, -0.0118556, 0.0092258, -0.0192280
1445623746, 0537-441, 2015-10-23 20:48:17.196, 126.9046279, 28.0176563, -0.3525337, 0.0000000, 0.0970573, 0.0000000, counts, 1.2218702, 0.0000000, 0.1138904, 0.0000000, 2116.9988367, 0.0000000, 2, 0.6204395, 0.1193857, 792.4808573, 3, 0.6158817, 0.1256250, 1324.5442594, 2, 12500.5000000, 4.5052, 28.69, 894.85, 15.00, 1.26, 1, -0.0014332, -0.0011768, 0.0127496, -0.0104350
1445623746, 2134+004, 2015-10-23 21:36:24.474, 291.6796495, 30.5953830, -0.3671115, 0.0000000, 0.1018546, 0.0000000, counts, 2.7428736, 0.0000000, 0.1058054, 0.0000000, 2134.2511972, 0.0000000, 0, 1.4458963, 0.1043215, 796.7487007, 0, 1.3546380, 0.0577719, 1337.6435877, 0, 12500.5000000, 8.7175, 27.98, 895.92, 15.00, 5.27, 1, -0.0107046, 0.0034167, -0.0143946, -0.0044810
1445623746, 0607-157, 2015-10-23 21:56:34.462, 94.0973988, 24.9291577, -0.3595434, 0.0000000, 0.0906515, 0.0000000, counts, 1.6023069, 0.0000000, 0.1180782, 0.0000000, 2162.6681689, 0.0000000, 3, 0.7440590, 0.1240664, 808.0476034, 3, 1.0282156, 0.0994637, 1354.7763690, 2, 12500.5000000, 4.1687, 27.97, 895.86, 15.00, 4.02, 1, -0.0080832, -0.0095817, 0.0021404, -0.0093262
1445623746, 1057-797, 2015-10-23 22:18:50.397, 172.6394107, 23.4040837, -0.3658429, 0.0000000, 0.0949593, 0.0000000, counts, 0.7886735, 0.0000000, 0.1234719, 0.0000000, 2165.3073207, 0.0000000, 2, 0.5306550, 0.0851284, 814.3415299, 0, 0.3685854, 0.1262613, 1350.9182720, 4, 12500.5000000, 2.1981, 27.88, 895.11, 15.00, 4.33, 1, -0.0135518, -0.0020588, -0.0074560, -0.0271441
1445623746, 2203-188, 2015-10-23 22:25:59.715, 268.7567423, 36.3183026, -0.3691118, 0.0000000, 0.0912871, 0.0000000, counts, 1.1381697, 0.0000000, 0.1127725, 0.0000000, 2135.1708697, 0.0000000, 3, 0.4608996, 0.1315061, 801.0755465, 3, 0.6866158, 0.1116669, 1334.0358340, 2, 12500.5000000, 3.3357, 27.57, 894.67, 15.00, 4.31, 1, -0.0098184, -0.0051503, -0.0113308, -0.0167777
1445623746, 3C446, 2015-10-23 22:53:53.007, 281.7189387, 27.9293673, -0.3582478, 0.0000000, 0.1056193, 0.0000000, counts, 1.1171796, 0.0000000, 0.1274137, 0.0000000, 2141.3818273, 0.0000000, 3, 0.6768249, 0.1202623, 806.6590346, 3, 0.4893442, 0.1574862, 1334.6873622, 3, 12500.5000000, 4.3673, 27.57, 894.48, 15.00, 3.03, 1, -0.0038896, 0.0073010, -0.0080097, -0.0055443
1445623746, 3C123, 2015-10-23 23:07:29.162, 27.5010959, 23.5325595, -0.3574163, 0.0000000, 0.0983015, 0.0000000, counts, 2.2673773, 0.0000000, 0.1204738, 0.0000000, 2152.3460492, 0.0000000, 3, 1.0533687, 0.1261591, 812.2057251, 3, 1.2227395, 0.1187244, 1340.1391463, 3, 12500.5000000, 6.0749, 27.82, 894.47, 15.00, 1.96, 1, -0.0052988, -0.0039876, -0.0041395, 0.0069922
1445623746, 0727-115, 2015-10-23 23:29:38.100, 88.6018764, 25.7817662, -0.3589607, 0.0000000, 0.0978179, 0.0000000, counts, 1.9673715, 0.0000000, 0.1264999, 0.0000000, 2148.1543749, 0.0000000, 3, 0.9999801, 0.1296827, 809.7569939, 3, 1.0096116, 0.1234100, 1338.3753127, 2, 12500.5000000, 5.1167, 27.41, 894.25, 15.00, 0.73, 1, -0.0073953, -0.0025640, 0.0033452, -0.0001801
1445623746, 0003-066, 2015-10-23 23:37:49.392, 289.7344936, 40.3789903, -0.3585435, 0.0000000, 0.0965478, 0.0000000, counts, 1.4500010, 0.0000000, 0.1285140, 0.0000000, 2120.2703293, 0.0000000, 3, 0.6978282, 0.1443838, 795.1902171, 3, 0.7945766, 0.1150479, 1325.0448965, 3, 12500.5000000, 2.4506, 26.94, 894.14, 15.00, 0.26, 1, 0.0007813, -0.0001764, -0.0026712, -0.0019541
